projectid;CURRENT.DATE;simulationid;TSUM;MaxLAI;Yield;AboveGroundBiomass
TestProject;29.07.1992;TestProject_00__TESTSIMULATION;1339.7019444444438;4.643021734731938;807.9086625431217;1678.5560468568874
TestProject;29.07.1993;TestProject_00__TESTSIMULATION;1334.7795138888885;5.114107832234355;863.6105557942742;1810.4470077347983
TestProject;27.07.1994;TestProject_00__TESTSIMULATION;1349.214444444445;5.747229480386495;163.1099532302634;1036.9517711332473
TestProject;30.07.1995;TestProject_00__TESTSIMULATION;1337.0309722222219;5.91527052556189;831.9207867288973;1959.6485082572608
TestProject;31.07.1996;TestProject_00__TESTSIMULATION;1335.4016666666666;3.4393428298100233;770.240774627825;1490.299648309739
TestProject;02.08.1997;TestProject_00__TESTSIMULATION;1340.697638888888;5.60617353130732;864.4301062717041;1989.4352161206102
TestProject;28.07.1998;TestProject_00__TESTSIMULATION;1349.9495833333342;5.941176819697843;641.0036950392102;1855.013313935747
TestProject;25.07.1999;TestProject_00__TESTSIMULATION;1334.1419444444443;5.058222609662621;844.2289810343285;1796.4223673676552
TestProject;22.07.2000;TestProject_00__TESTSIMULATION;1344.758263888889;5.38484889507821;899.6070468562147;2030.5080075582955
TestProject;26.07.2001;TestProject_00__TESTSIMULATION;1333.9493055555556;6.489748931413537;874.1340601661268;2239.0420416163324
