projectid;CURRENT.DATE;simulationid;TSUM;MaxLAI;Yield;AboveGroundBiomass
TestProject;29.07.1992;TestProject_00__TESTSIMULATION;1339.7019444444438;4.641625453288352;807.5563862337754;1677.1576757649295
TestProject;29.07.1993;TestProject_00__TESTSIMULATION;1334.7795138888885;5.108538920228898;880.2334951166124;1823.7937323317342
TestProject;27.07.1994;TestProject_00__TESTSIMULATION;1349.214444444445;5.597747819970178;778.9684149997854;1911.1350380351996
TestProject;30.07.1995;TestProject_00__TESTSIMULATION;1337.0309722222219;5.783843105274938;827.2373787989901;1913.0823461452846
TestProject;31.07.1996;TestProject_00__TESTSIMULATION;1335.4016666666666;3.436590401154448;769.7637204655083;1489.3310643897403
TestProject;02.08.1997;TestProject_00__TESTSIMULATION;1340.697638888888;5.602473989310264;881.4716325706794;2002.6341553323214
TestProject;28.07.1998;TestProject_00__TESTSIMULATION;1349.9495833333342;5.8509266620599;836.3959148888362;2011.3365244389815
TestProject;25.07.1999;TestProject_00__TESTSIMULATION;1334.1419444444443;5.059484522697162;844.2804193164217;1796.7228540768979
TestProject;22.07.2000;TestProject_00__TESTSIMULATION;1344.758263888889;5.382423960876979;899.0429757451658;2030.172548680831
TestProject;26.07.2001;TestProject_00__TESTSIMULATION;1333.9493055555556;6.4890738573998625;873.569014428824;2236.6468609131307
